,Article_Title,Loan_Title,Journal_Title
135,"Standard', 'Standard'",,
853,Standard',,
888,standard',,
988,Standard',,
1370,Standard',,
2099,,,standard'
3197,standard',,
3277,,Standard',
3303,Standard',,
3379,standard',,
3619,,Standard',
3879,standard',,
4565,standard',,
4882,,,standard'
5138,,,standard'
5199,,,standard'
5225,Standard',,
5227,,,standard'
5317,,,standard'
5556,,,standard'
5714,standard',,
5834,,standard',
6237,STANDARD',,
6461,Standard',,
7662,,,standard'
8068,Standard',,
8331,,Standard',
8455,,,standard'
8824,,,standard'
9161,,,standard'
9224,Standard',,
9501,Standard',,
9503,Standard',,
9548,Standard',,
9711,standard',,
10170,standard',,
10459,,,standard'
10495,Standard',,
10505,,,standard'
10667,standard',,
11942,Standard',,
11998,,Standard',
12029,,standard',
12379,Standard',,
12536,standard',,
12554,,standard',
12640,,,standard'
12808,standard',,
12839,,,standard'
13730,standard',standard',
13944,,,standard'
14020,standard',,
14237,Standard',,
14820,standard',,
15146,,standard',
15654,,,standard'
15673,,,standard'
15718,Standard',,
15733,Standard',,
15986,,standard',
16180,,,standard'
16225,standard',,
17145,standard',,
17274,,standard',
17375,,,standard'
17376,,,standard'
17377,,,standard'
17378,,,standard'
17380,,,standard'
17381,,,standard'
17382,,,standard'
17383,,,standard'
17384,,,standard'
17852,standard',,
18283,standard',,
18288,standard',,
18742,,,standard'
18811,standard',,
18812,Standard',,
18814,standard',,
19014,Standard',,Standard'
19015,,Standard',
19016,,Standard',
19017,,Standard',
19018,,Standard',
19232,standard',,
19275,,,standard'
19698,Standard',,
19985,,Standard',
20467,standard',,
20802,standard',,
20884,Standard',,
20954,Standard',,
21053,,standard',
21054,Standard',,
21184,Standard',,
21500,,,standard'
21667,Standard',,
21679,,,standard'
21805,,standard',
21829,Standard',,
21988,standard',,
22058,,standard',
22301,standard',,
22591,,,standard'
22950,Standard',,
23320,,,Standard'
23331,Standard',,Standard'
23544,,standard',
23952,,standard',
24148,standard',,
24459,,Standard',
24517,Standard',,
25142,standard',,
25175,Standard',,
25177,Standard',,
25581,standard',,
26081,,STANDARD',
26304,,standard',
26400,,"standard', 'Standard'",
27097,,Standard',
27239,standard',,
27256,,Standard',
27471,,Standard',
28240,,,standard'
28625,STANDARD',,
28792,,,standard'
28809,standard',,
28996,Standard',,
29127,,,standard'
29556,,,Standard'
29743,,,Standard'
30115,,standard',
30151,Standard',,
30180,standard',,
30216,standard',,
30624,,,standard'
30625,,,standard'
30872,,standard',
31009,,,standard'
31268,,,standard'
31647,,,standard'
31650,,,standard'
31732,,standard',
32012,,,standard'
32168,,Standard',
32184,,,standard'
32377,Standard',,
32580,Standard',,
32821,Standard',,
33499,standard',,
33658,Standard',,
34489,Standard',,
34532,Standard',,
34713,standard',,
35106,,,standard'
35295,,Standard',
35643,Standard',,
35720,Standard',,
35741,,Standard',
36143,,Standard',
36180,,standard',
36703,standard',,
36761,,,standard'
36990,standard',,
37067,standard',,Standard'
37398,,Standard',
37727,,Standard',
37940,Standard',,
